name,path,type,status,version,value_tag
docs-inventory.json,/Users/warre/Omega/trauma-informed-education-system/lib/docs-inventory.json,spec,unknown,N/A,high-value
training.ts,/Users/warre/Omega/trauma-informed-education-system/lib/training.ts,code-typescript,unknown,N/A,high-value
packs.ts,/Users/warre/Omega/trauma-informed-education-system/lib/packs.ts,code-typescript,unknown,N/A,high-value
search.ts,/Users/warre/Omega/trauma-informed-education-system/lib/search.ts,code-typescript,unknown,rc,high-value
docsFs.ts,/Users/warre/Omega/trauma-informed-education-system/lib/docsFs.ts,code-typescript,unknown,N/A,high-value
positioning.ts,/Users/warre/Omega/trauma-informed-education-system/lib/positioning.ts,code-typescript,unknown,N/A,high-value
md.ts,/Users/warre/Omega/trauma-informed-education-system/lib/md.ts,code-typescript,unknown,N/A,high-value
docsIndex.ts,/Users/warre/Omega/trauma-informed-education-system/lib/docsIndex.ts,code-typescript,unknown,N/A,high-value
tsconfig.json,/Users/warre/Omega/trauma-informed-education-system/tsconfig.json,spec,unknown,N/A,high-value
mac_tools_install.sh,/Users/warre/Omega/mac_tools_install.sh,miscellaneous,unknown,N/A,high-value
app,/Users/warre/Omega/app,directory,unknown,N/A,high-value
demo,/Users/warre/Omega/app/demo,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/demo/page.tsx,code-typescript,unknown,N/A,high-value
robots.ts,/Users/warre/Omega/app/robots.ts,code-typescript,unknown,N/A,high-value
ui,/Users/warre/Omega/app/ui,directory,unknown,N/A,high-value
uiTokens.ts,/Users/warre/Omega/app/ui/uiTokens.ts,code-typescript,unknown,N/A,high-value
UiCard.tsx,/Users/warre/Omega/app/ui/UiCard.tsx,code-typescript,unknown,N/A,high-value
index.ts,/Users/warre/Omega/app/ui/index.ts,code-typescript,unknown,N/A,high-value
kernels,/Users/warre/Omega/app/kernels,directory,unknown,N/A,high-value
uav,/Users/warre/Omega/app/kernels/uav,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/kernels/page.tsx,code-typescript,unknown,N/A,high-value
contact,/Users/warre/Omega/app/contact,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/contact/page.tsx,code-typescript,unknown,N/A,high-value
explain,/Users/warre/Omega/app/explain,directory,unknown,N/A,high-value
[workspaceId],/Users/warre/Omega/app/explain/[workspaceId],directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/explain/page.tsx,code-typescript,unknown,N/A,high-value
learning,/Users/warre/Omega/app/learning,directory,unknown,N/A,high-value
ui,/Users/warre/Omega/app/learning/ui,directory,unknown,N/A,high-value
home,/Users/warre/Omega/app/learning/home,directory,unknown,N/A,high-value
recap,/Users/warre/Omega/app/learning/recap,directory,unknown,N/A,high-value
board,/Users/warre/Omega/app/learning/board,directory,unknown,N/A,high-value
input,/Users/warre/Omega/app/learning/input,directory,unknown,N/A,high-value
paths,/Users/warre/Omega/app/learning/paths,directory,unknown,N/A,high-value
start,/Users/warre/Omega/app/learning/start,directory,unknown,N/A,high-value
permissions,/Users/warre/Omega/app/learning/permissions,directory,unknown,N/A,high-value
types.ts,/Users/warre/Omega/app/learning/types.ts,code-typescript,unknown,N/A,high-value
styles,/Users/warre/Omega/app/learning/styles,directory,unknown,N/A,high-value
components,/Users/warre/Omega/app/learning/components,directory,unknown,N/A,high-value
thoughts,/Users/warre/Omega/app/learning/thoughts,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/learning/page.tsx,code-typescript,unknown,N/A,high-value
teacher,/Users/warre/Omega/app/learning/teacher,directory,unknown,N/A,high-value
persist,/Users/warre/Omega/app/learning/persist,directory,unknown,N/A,high-value
topics,/Users/warre/Omega/app/learning/topics,directory,unknown,N/A,high-value
kernel-studio,/Users/warre/Omega/app/kernel-studio,directory,unknown,N/A,high-value
__tests__,/Users/warre/Omega/app/kernel-studio/__tests__,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/kernel-studio/page.tsx,code-typescript,unknown,N/A,high-value
copilotClient.ts,/Users/warre/Omega/app/kernel-studio/copilotClient.ts,code-typescript,unknown,N/A,high-value
admin,/Users/warre/Omega/app/admin,directory,unknown,N/A,high-value
_ping,/Users/warre/Omega/app/admin/_ping,directory,unknown,N/A,high-value
inquiries,/Users/warre/Omega/app/admin/inquiries,directory,unknown,N/A,high-value
llm-runs,/Users/warre/Omega/app/admin/llm-runs,directory,unknown,N/A,high-value
fault-episodes,/Users/warre/Omega/app/admin/fault-episodes,directory,unknown,N/A,high-value
error.tsx,/Users/warre/Omega/app/admin/error.tsx,code-typescript,unknown,N/A,high-value
not-found.tsx,/Users/warre/Omega/app/admin/not-found.tsx,code-typescript,unknown,N/A,high-value
tsrfc,/Users/warre/Omega/app/tsrfc,directory,unknown,N/A,high-value
page.module.css,/Users/warre/Omega/app/tsrfc/page.module.css,miscellaneous,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/tsrfc/page.tsx,code-typescript,unknown,N/A,high-value
content,/Users/warre/Omega/app/content,directory,unknown,N/A,high-value
landing.ts,/Users/warre/Omega/app/content/landing.ts,code-typescript,unknown,N/A,high-value
demos.ts,/Users/warre/Omega/app/content/demos.ts,code-typescript,unknown,N/A,high-value
state,/Users/warre/Omega/app/state,directory,unknown,N/A,high-value
types.ts,/Users/warre/Omega/app/state/types.ts,code-typescript,unknown,N/A,high-value
WorkspaceContext.tsx,/Users/warre/Omega/app/state/WorkspaceContext.tsx,code-typescript,unknown,N/A,high-value
protocol-site,/Users/warre/Omega/app/protocol-site,directory,unknown,N/A,high-value
components,/Users/warre/Omega/app/protocol-site/components,directory,unknown,N/A,high-value
styles,/Users/warre/Omega/app/styles,directory,unknown,N/A,high-value
tokens.css,/Users/warre/Omega/app/styles/tokens.css,miscellaneous,unknown,N/A,high-value
globals.css,/Users/warre/Omega/app/styles/globals.css,miscellaneous,unknown,N/A,high-value
stewardship,/Users/warre/Omega/app/stewardship,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/stewardship/page.tsx,code-typescript,unknown,N/A,high-value
components,/Users/warre/Omega/app/components,directory,unknown,N/A,high-value
demo,/Users/warre/Omega/app/components/demo,directory,unknown,N/A,high-value
sections,/Users/warre/Omega/app/components/sections,directory,unknown,N/A,high-value
DevIdentityBanner.tsx,/Users/warre/Omega/app/components/DevIdentityBanner.tsx,code-typescript,unknown,dev,high-value
omega,/Users/warre/Omega/app/components/omega,directory,unknown,N/A,high-value
DevBanner.tsx,/Users/warre/Omega/app/components/DevBanner.tsx,code-typescript,unknown,dev,high-value
(site),/Users/warre/Omega/app/(site),directory,unknown,N/A,high-value
contact,/Users/warre/Omega/app/(site)/contact,directory,unknown,N/A,high-value
domains,/Users/warre/Omega/app/(site)/domains,directory,unknown,N/A,high-value
site.config.ts,/Users/warre/Omega/app/(site)/site.config.ts,code-typescript,unknown,N/A,high-value
how-it-works,/Users/warre/Omega/app/(site)/how-it-works,directory,unknown,N/A,high-value
collaborate,/Users/warre/Omega/app/(site)/collaborate,directory,unknown,N/A,high-value
components,/Users/warre/Omega/app/(site)/components,directory,unknown,N/A,high-value
layout.tsx,/Users/warre/Omega/app/(site)/layout.tsx,code-typescript,unknown,N/A,high-value
demos,/Users/warre/Omega/app/(site)/demos,directory,unknown,N/A,high-value
services,/Users/warre/Omega/app/(site)/services,directory,unknown,N/A,high-value
what-we-do,/Users/warre/Omega/app/(site)/what-we-do,directory,unknown,N/A,high-value
layout.module.css,/Users/warre/Omega/app/(site)/layout.module.css,miscellaneous,unknown,N/A,high-value
_components,/Users/warre/Omega/app/_components,directory,unknown,N/A,high-value
sitemap.ts,/Users/warre/Omega/app/sitemap.ts,code-typescript,unknown,N/A,high-value
layout.tsx,/Users/warre/Omega/app/layout.tsx,code-typescript,unknown,N/A,high-value
error.tsx,/Users/warre/Omega/app/error.tsx,code-typescript,unknown,N/A,high-value
lib,/Users/warre/Omega/app/lib,directory,unknown,N/A,high-value
distill.ts,/Users/warre/Omega/app/lib/distill.ts,code-typescript,unknown,N/A,high-value
api,/Users/warre/Omega/app/api,directory,unknown,N/A,high-value
demo,/Users/warre/Omega/app/api/demo,directory,unknown,N/A,high-value
kernels,/Users/warre/Omega/app/api/kernels,directory,unknown,N/A,high-value
artifacts,/Users/warre/Omega/app/api/artifacts,directory,unknown,N/A,high-value
contact,/Users/warre/Omega/app/api/contact,directory,unknown,N/A,high-value
llm,/Users/warre/Omega/app/api/llm,directory,unknown,N/A,high-value
explain,/Users/warre/Omega/app/api/explain,directory,unknown,N/A,high-value
whoami,/Users/warre/Omega/app/api/whoami,directory,unknown,N/A,high-value
verify,/Users/warre/Omega/app/api/verify,directory,unknown,N/A,high-value
specs,/Users/warre/Omega/app/api/specs,directory,unknown,N/A,high-value
learning,/Users/warre/Omega/app/api/learning,directory,unknown,N/A,high-value
fault-episodes,/Users/warre/Omega/app/api/fault-episodes,directory,unknown,N/A,high-value
pdf,/Users/warre/Omega/app/api/pdf,directory,unknown,N/A,high-value
fetch,/Users/warre/Omega/app/api/fetch,directory,unknown,N/A,high-value
version,/Users/warre/Omega/app/api/version,directory,unknown,N/A,high-value
extract,/Users/warre/Omega/app/api/extract,directory,unknown,N/A,high-value
regression,/Users/warre/Omega/app/api/regression,directory,unknown,N/A,high-value
orchestrator,/Users/warre/Omega/app/api/orchestrator,directory,unknown,rc,high-value
share,/Users/warre/Omega/app/api/share,directory,unknown,N/A,high-value
surfaces,/Users/warre/Omega/app/surfaces,directory,unknown,N/A,high-value
explainable,/Users/warre/Omega/app/surfaces/explainable,directory,unknown,N/A,high-value
rooms,/Users/warre/Omega/app/rooms,directory,unknown,N/A,high-value
RoomTabs.tsx,/Users/warre/Omega/app/rooms/RoomTabs.tsx,code-typescript,unknown,N/A,high-value
ExportButton.tsx,/Users/warre/Omega/app/rooms/ExportButton.tsx,code-typescript,unknown,N/A,high-value
[workspaceId],/Users/warre/Omega/app/rooms/[workspaceId],directory,unknown,N/A,high-value
OmegaAssistModal.tsx,/Users/warre/Omega/app/rooms/OmegaAssistModal.tsx,code-typescript,unknown,N/A,high-value
types.ts,/Users/warre/Omega/app/rooms/types.ts,code-typescript,unknown,N/A,high-value
WhyThisHelpsStrip.tsx,/Users/warre/Omega/app/rooms/WhyThisHelpsStrip.tsx,code-typescript,unknown,N/A,high-value
WorkspaceContext.tsx,/Users/warre/Omega/app/rooms/WorkspaceContext.tsx,code-typescript,unknown,N/A,high-value
layout.tsx,/Users/warre/Omega/app/rooms/layout.tsx,code-typescript,unknown,N/A,high-value
GuideOverlay.tsx,/Users/warre/Omega/app/rooms/GuideOverlay.tsx,code-typescript,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/rooms/page.tsx,code-typescript,unknown,N/A,high-value
roomConfig.ts,/Users/warre/Omega/app/rooms/roomConfig.ts,code-typescript,unknown,N/A,high-value
regression,/Users/warre/Omega/app/regression,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/regression/page.tsx,code-typescript,unknown,N/A,high-value
how-its-used,/Users/warre/Omega/app/how-its-used,directory,unknown,N/A,high-value
industries,/Users/warre/Omega/app/how-its-used/industries,directory,unknown,N/A,high-value
examples,/Users/warre/Omega/app/how-its-used/examples,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/how-its-used/page.tsx,code-typescript,unknown,N/A,high-value
audience,/Users/warre/Omega/app/audience,directory,unknown,N/A,high-value
[sessionId],/Users/warre/Omega/app/audience/[sessionId],directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/page.tsx,code-typescript,unknown,N/A,high-value
teacher,/Users/warre/Omega/app/teacher,directory,unknown,N/A,high-value
home,/Users/warre/Omega/app/teacher/home,directory,unknown,N/A,high-value
recap,/Users/warre/Omega/app/teacher/recap,directory,unknown,N/A,high-value
classroom,/Users/warre/Omega/app/teacher/classroom,directory,unknown,N/A,high-value
components,/Users/warre/Omega/app/teacher/components,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/teacher/page.tsx,code-typescript,unknown,N/A,high-value
remote,/Users/warre/Omega/app/teacher/remote,directory,unknown,N/A,high-value
protocols,/Users/warre/Omega/app/protocols,directory,unknown,N/A,high-value
omega-c,/Users/warre/Omega/app/protocols/omega-c,directory,unknown,N/A,high-value
omega-e,/Users/warre/Omega/app/protocols/omega-e,directory,unknown,N/A,high-value
omega,/Users/warre/Omega/app/protocols/omega,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/protocols/page.tsx,code-typescript,unknown,N/A,high-value
omega-u,/Users/warre/Omega/app/protocols/omega-u,directory,unknown,N/A,high-value
omega-s,/Users/warre/Omega/app/protocols/omega-s,directory,unknown,N/A,high-value
omega-a,/Users/warre/Omega/app/protocols/omega-a,directory,unknown,N/A,high-value
globals.css,/Users/warre/Omega/app/globals.css,miscellaneous,unknown,N/A,high-value
orchestrator,/Users/warre/Omega/app/orchestrator,directory,unknown,rc,high-value
page.tsx,/Users/warre/Omega/app/orchestrator/page.tsx,code-typescript,unknown,rc,high-value
not-found.tsx,/Users/warre/Omega/app/not-found.tsx,code-typescript,unknown,N/A,high-value
share,/Users/warre/Omega/app/share,directory,unknown,N/A,high-value
[token],/Users/warre/Omega/app/share/[token],directory,unknown,N/A,high-value
pair,/Users/warre/Omega/app/pair,directory,unknown,N/A,high-value
[code],/Users/warre/Omega/app/pair/[code],directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/app/pair/page.tsx,code-typescript,unknown,N/A,high-value
Archive,/Users/warre/Omega/Archive,directory,unknown,rc,high-value
2025-12_consolidation,/Users/warre/Omega/Archive/2025-12_consolidation,directory,unknown,rc,high-value
projects,/Users/warre/Omega/Archive/2025-12_consolidation/projects,directory,unknown,rc,high-value
README.md,/Users/warre/Omega/Archive/2025-12_consolidation/README.md,spec,unknown,rc,high-value
scratch,/Users/warre/Omega/Archive/2025-12_consolidation/scratch,directory,unknown,rc,high-value
demos,/Users/warre/Omega/Archive/2025-12_consolidation/demos,directory,unknown,rc,high-value
oplas,/Users/warre/Omega/oplas,directory,unknown,N/A,high-value
GATE_1A_SUMMARY.md,/Users/warre/Omega/oplas/GATE_1A_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_06_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_06_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_03_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_03_SUMMARY.md,spec,unknown,N/A,high-value
suites,/Users/warre/Omega/oplas/suites,directory,unknown,N/A,high-value
smoke_10,/Users/warre/Omega/oplas/suites/smoke_10,directory,unknown,N/A,high-value
BLOCK_12_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_12_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_15_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_15_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_09_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_09_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_04_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_04_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_10_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_10_SUMMARY.md,spec,unknown,N/A,high-value
README.md,/Users/warre/Omega/oplas/README.md,spec,unknown,N/A,high-value
BLOCK_02_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_02_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_13_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_13_SUMMARY.md,spec,unknown,N/A,high-value
package.json,/Users/warre/Omega/oplas/package.json,spec,unknown,N/A,high-value
BLOCK_16_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_16_SUMMARY.md,spec,unknown,N/A,high-value
scripts,/Users/warre/Omega/oplas/scripts,directory,unknown,N/A,high-value
run-task.ts,/Users/warre/Omega/oplas/scripts/run-task.ts,code-typescript,unknown,N/A,high-value
run-gate1a-grid.ts,/Users/warre/Omega/oplas/scripts/run-gate1a-grid.ts,code-typescript,unknown,N/A,high-value
replay.ts,/Users/warre/Omega/oplas/scripts/replay.ts,code-typescript,unknown,N/A,high-value
replay-task.ts,/Users/warre/Omega/oplas/scripts/replay-task.ts,code-typescript,unknown,N/A,high-value
run-gate1a.ts,/Users/warre/Omega/oplas/scripts/run-gate1a.ts,code-typescript,unknown,N/A,high-value
replay-task-orchestrator.ts,/Users/warre/Omega/oplas/scripts/replay-task-orchestrator.ts,code-typescript,unknown,rc,high-value
run-regression.ts,/Users/warre/Omega/oplas/scripts/run-regression.ts,code-typescript,unknown,N/A,high-value
BLOCK_07_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_07_SUMMARY.md,spec,unknown,N/A,high-value
tsconfig.json,/Users/warre/Omega/oplas/tsconfig.json,spec,unknown,N/A,high-value
fixtures,/Users/warre/Omega/oplas/fixtures,directory,unknown,N/A,high-value
grids,/Users/warre/Omega/oplas/fixtures/grids,directory,unknown,N/A,high-value
programs,/Users/warre/Omega/oplas/fixtures/programs,directory,unknown,N/A,high-value
BLOCK_11_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_11_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_14_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_14_SUMMARY.md,spec,unknown,N/A,high-value
BLOCK_08_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_08_SUMMARY.md,spec,unknown,N/A,high-value
src,/Users/warre/Omega/oplas/src,directory,unknown,rc,high-value
domains,/Users/warre/Omega/oplas/src/domains,directory,unknown,rc,high-value
core,/Users/warre/Omega/oplas/src/core,directory,unknown,rc,high-value
contracts,/Users/warre/Omega/oplas/src/contracts,directory,unknown,rc,high-value
storage,/Users/warre/Omega/oplas/src/storage,directory,unknown,rc,high-value
harness,/Users/warre/Omega/oplas/src/harness,directory,unknown,rc,high-value
model,/Users/warre/Omega/oplas/src/model,directory,unknown,rc,high-value
verifier,/Users/warre/Omega/oplas/src/verifier,directory,unknown,rc,high-value
executor,/Users/warre/Omega/oplas/src/executor,directory,unknown,rc,high-value
enumerator,/Users/warre/Omega/oplas/src/enumerator,directory,unknown,rc,high-value
dsl,/Users/warre/Omega/oplas/src/dsl,directory,unknown,rc,high-value
orchestrator,/Users/warre/Omega/oplas/src/orchestrator,directory,unknown,rc,high-value
vault,/Users/warre/Omega/oplas/src/vault,directory,unknown,rc,high-value
BLOCK_05_SUMMARY.md,/Users/warre/Omega/oplas/BLOCK_05_SUMMARY.md,spec,unknown,N/A,high-value
shared-reality-site,/Users/warre/Omega/shared-reality-site,directory,unknown,N/A,high-value
postcss.config.mjs,/Users/warre/Omega/shared-reality-site/postcss.config.mjs,code-javascript,unknown,N/A,high-value
next-env.d.ts,/Users/warre/Omega/shared-reality-site/next-env.d.ts,code-typescript,unknown,N/A,high-value
README.md,/Users/warre/Omega/shared-reality-site/README.md,spec,unknown,N/A,high-value
public,/Users/warre/Omega/shared-reality-site/public,directory,unknown,N/A,high-value
file.svg,/Users/warre/Omega/shared-reality-site/public/file.svg,media,unknown,N/A,high-value
shared-reality,/Users/warre/Omega/shared-reality-site/public/shared-reality,directory,unknown,N/A,high-value
vercel.svg,/Users/warre/Omega/shared-reality-site/public/vercel.svg,media,unknown,rc,high-value
next.svg,/Users/warre/Omega/shared-reality-site/public/next.svg,media,unknown,N/A,high-value
globe.svg,/Users/warre/Omega/shared-reality-site/public/globe.svg,media,unknown,N/A,high-value
window.svg,/Users/warre/Omega/shared-reality-site/public/window.svg,media,unknown,N/A,high-value
package-lock.json,/Users/warre/Omega/shared-reality-site/package-lock.json,spec,unknown,N/A,high-value
package.json,/Users/warre/Omega/shared-reality-site/package.json,spec,unknown,N/A,high-value
scripts,/Users/warre/Omega/shared-reality-site/scripts,directory,unknown,N/A,high-value
dev-clean.mjs,/Users/warre/Omega/shared-reality-site/scripts/dev-clean.mjs,code-javascript,unknown,dev,high-value
tsconfig.json,/Users/warre/Omega/shared-reality-site/tsconfig.json,spec,unknown,N/A,high-value
OPS,/Users/warre/Omega/shared-reality-site/OPS,directory,unknown,N/A,high-value
next.config.ts.bak,/Users/warre/Omega/shared-reality-site/next.config.ts.bak,miscellaneous,unknown,N/A,high-value
package.json.bak,/Users/warre/Omega/shared-reality-site/package.json.bak,miscellaneous,unknown,N/A,high-value
eslint.config.mjs,/Users/warre/Omega/shared-reality-site/eslint.config.mjs,code-javascript,unknown,N/A,high-value
next.config.ts,/Users/warre/Omega/shared-reality-site/next.config.ts,code-typescript,unknown,N/A,high-value
src,/Users/warre/Omega/shared-reality-site/src,directory,unknown,rc,high-value
